Year,Date,,Schl,Rk.,,Opp,Rk.,,,PTS,OPP,MOV
2022-23,4/3/23,,Connecticut,10,,San Diego State,18,W,,76,59,17
2022-23,4/1/23,,San Diego State,18,,Florida Atlantic,25,W,,72,71,1
2022-23,4/1/23,,Connecticut,10,,Miami (FL),16,W,,72,59,13
2022-23,3/26/23,,San Diego State,18,,Creighton,,W,,57,56,1
2022-23,3/26/23,,Miami (FL),16,,Texas,5,W,,88,81,7
2022-23,3/25/23,,Florida Atlantic,25,,Kansas State,15,W,,79,76,3
2022-23,3/25/23,,Connecticut,10,,Gonzaga,9,W,,82,54,28
2022-23,3/24/23,,San Diego State,18,,Alabama,1,W,,71,64,7
2022-23,3/24/23,,Miami (FL),16,,Houston,2,W,,89,75,14
2022-23,3/24/23,,Creighton,,,Princeton,,W,,86,75,11
2022-23,3/24/23,,Texas,5,,Xavier,13,W,,83,71,12
2022-23,3/23/23,,Kansas State,15,,Michigan State,,W,,98,93,5
2022-23,3/23/23,,Connecticut,10,,Arkansas,,W,,88,65,23
2022-23,3/23/23,,Florida Atlantic,25,,Tennessee,20,W,,62,55,7
2022-23,3/23/23,,Gonzaga,9,,UCLA,7,W,,79,76,3
2022-23,3/19/23,,Xavier,13,,Pittsburgh,,W,,84,73,11
2022-23,3/19/23,,Kansas State,15,,Kentucky,,W,,75,69,6
2022-23,3/19/23,,Michigan State,,,Marquette,6,W,,69,60,9
2022-23,3/19/23,,Connecticut,10,,Saint Mary's (CA),19,W,,70,55,15
2022-23,3/19/23,,Creighton,,,Baylor,11,W,,85,76,9
2022-23,3/19/23,,Florida Atlantic,25,,FDU,,W,,78,70,8
2022-23,3/19/23,,Miami (FL),16,,Indiana,21,W,,85,69,16
2022-23,3/19/23,,Gonzaga,9,,TCU,22,W,,84,81,3
2022-23,3/18/23,,San Diego State,18,,Furman,,W,,75,52,23
2022-23,3/18/23,,Tennessee,20,,Duke,12,W,,65,52,13
2022-23,3/18/23,,Arkansas,,,Kansas,4,W,,72,71,1
2022-23,3/18/23,,Princeton,,,Missouri,23,W,,78,63,15
2022-23,3/18/23,,Houston,2,,Auburn,,W,,81,64,17
2022-23,3/18/23,,Texas,5,,Penn State,,W,,71,66,5
2022-23,3/18/23,,UCLA,7,,Northwestern,,W,,68,63,5
2022-23,3/18/23,,Alabama,1,,Maryland,,W,,73,51,22
2022-23,3/17/23,,Michigan State,,,Southern California,,W,,72,62,10
2022-23,3/17/23,,Xavier,13,,Kennesaw State,,W,,72,67,5
2022-23,3/17/23,,Baylor,11,,UC Santa Barbara,,W,,74,56,18
2022-23,3/17/23,,Marquette,6,,Vermont,,W,,78,61,17
2022-23,3/17/23,,Saint Mary's (CA),19,,Virginia Commonwealth,,W,,63,51,12
2022-23,3/17/23,,Pittsburgh,,,Iowa State,,W,,59,41,18
2022-23,3/17/23,,Connecticut,10,,Iona,,W,,87,63,24
2022-23,3/17/23,,Creighton,,,NC State,,W,,72,63,9
2022-23,3/17/23,,FDU,,,Purdue,3,W,,63,58,5
2022-23,3/17/23,,Gonzaga,9,,Grand Canyon,,W,,82,70,12
2022-23,3/17/23,,Kentucky,,,Providence,,W,,61,53,8
2022-23,3/17/23,,Miami (FL),16,,Drake,,W,,63,56,7
2022-23,3/17/23,,Indiana,21,,Kent State,,W,,71,60,11
2022-23,3/17/23,,Kansas State,15,,Montana State,,W,,77,65,12
2022-23,3/17/23,,Florida Atlantic,25,,Memphis,24,W,,66,65,1
2022-23,3/17/23,,TCU,22,,Arizona State,,W,,72,70,2
2022-23,3/16/23,,Maryland,,,West Virginia,,W,,67,65,2
2022-23,3/16/23,,Furman,,,Virginia,14,W,,68,67,1
2022-23,3/16/23,,Missouri,23,,Utah State,,W,,76,65,11
2022-23,3/16/23,,Alabama,1,,Texas A&M-Corpus Christi,,W,,96,75,21
2022-23,3/16/23,,Kansas,4,,Howard,,W,,96,68,28
2022-23,3/16/23,,San Diego State,18,,College of Charleston,,W,,63,57,6
2022-23,3/16/23,,Princeton,,,Arizona,8,W,,59,55,4
2022-23,3/16/23,,Arkansas,,,Illinois,,W,,73,63,10
2022-23,3/16/23,,Auburn,,,Iowa,,W,,83,75,8
2022-23,3/16/23,,Duke,12,,Oral Roberts,,W,,74,51,23
2022-23,3/16/23,,Northwestern,,,Boise State,,W,,75,67,8
2022-23,3/16/23,,Texas,5,,Colgate,,W,,81,61,20
2022-23,3/16/23,,Houston,2,,Northern Kentucky,,W,,63,52,11
2022-23,3/16/23,,Tennessee,20,,Louisiana,,W,,58,55,3
2022-23,3/16/23,,Penn State,,,Texas A&M,17,W,,76,59,17
2022-23,3/16/23,,UCLA,7,,UNC Asheville,,W,,86,53,33
2022-23,3/15/23,,FDU,,,Texas Southern,,W,,84,61,23
2022-23,3/15/23,,Arizona State,,,Nevada,,W,,98,73,25
2022-23,3/14/23,,Texas A&M-Corpus Christi,,,Southeast Missouri State,,W,,75,71,4
2022-23,3/14/23,,Pittsburgh,,,Mississippi State,,W,,60,59,1
