Rk,School,TG,TW,TL,TW-L%,TSRS,TSOS,CW,CL,HW,HL,AW,AL,,PTS,OPTS,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,OMP,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,OPace,OORtg,OFTr,O3PAr,OTS%,OTRB%,OAST%,OSTL%,OBLK%,OeFG%,OTOV%,OORB%,OFT/FGA
1,Abilene Christian,30,13,17,0.433,-2.79,0.9,5,11,9,5,4,8,,2249,2133,,1210,812,1800,0.451,211,613,0.344,414,573,0.723,307,972,471,264,71,379,617,1210,727,1526,0.476,188,517,0.364,491,687,0.715,240,1008,374,167,98,530,573,70.9,104.9,0.318,0.341,0.543,49.1,58,12.3,7,0.51,15.5,28.6,0.23,70.9,99.5,0.45,0.339,0.576,50.9,51.4,7.8,8.3,0.538,22.2,26.5,0.322
2,Air Force,32,14,18,0.438,2,2.12,5,13,10,9,4,9,,2142,2146,,1295,756,1636,0.462,261,733,0.356,369,511,0.722,213,946,491,184,127,391,544,1295,764,1718,0.445,166,566,0.293,452,604,0.748,293,1036,323,183,99,352,545,63.6,104,0.312,0.448,0.57,47.7,64.9,8.9,11,0.542,17.2,22.3,0.226,63.6,104.2,0.352,0.329,0.535,52.3,42.3,8.9,11,0.493,14.9,28.6,0.263
3,Akron,33,22,11,0.667,4.19,-1.65,13,5,15,1,5,6,,2463,2209,,1330,844,1898,0.445,300,845,0.355,475,643,0.739,335,1178,443,199,87,370,529,1330,802,1873,0.428,229,669,0.342,376,512,0.734,296,1081,370,190,99,407,608,67.2,110.3,0.339,0.445,0.559,52.1,52.5,8.9,7.2,0.524,14.4,29.9,0.25,67.2,98.9,0.273,0.357,0.522,47.9,46.1,8.5,9.4,0.489,16.1,26,0.201
4,Alabama NCAA,37,31,6,0.838,23.19,9.65,16,2,15,0,9,3,,3027,2526,,1510,1023,2314,0.442,366,1093,0.335,615,848,0.725,484,1652,555,224,189,512,691,1510,885,2387,0.371,202,715,0.283,554,779,0.711,452,1383,364,268,142,434,737,72.6,110.4,0.366,0.472,0.557,54.4,54.3,8.2,11.3,0.521,15.9,34.2,0.266,72.6,92.1,0.326,0.3,0.458,45.6,41.1,9.8,11.6,0.413,13.6,27.9,0.232
5,Alabama A&M,33,15,18,0.455,-10.78,-7.71,10,8,9,8,5,8,,2297,2340,,1336,823,1868,0.441,226,610,0.37,425,649,0.655,334,1079,419,264,133,498,624,1336,781,1842,0.424,251,735,0.341,527,743,0.709,399,1179,420,258,115,510,581,69.9,98.9,0.347,0.327,0.528,47.8,50.9,11.4,12,0.501,18.6,30,0.228,69.9,100.7,0.403,0.399,0.533,52.2,53.8,11.1,9.1,0.492,18.9,34.9,0.286
6,Alabama State,31,8,23,0.258,-16.33,-6.29,6,12,5,5,2,18,,1963,2252,,1245,683,1821,0.375,185,605,0.306,412,584,0.705,387,1117,309,182,110,414,557,1245,801,1839,0.436,216,635,0.34,434,632,0.687,375,1184,367,218,153,379,513,68.6,92,0.321,0.332,0.468,48.5,45.2,8.5,9.1,0.426,16.5,32.4,0.226,68.6,105.5,0.344,0.345,0.526,51.5,45.8,10.2,12.6,0.494,15.1,33.9,0.236
7,Albany (NY),31,8,23,0.258,-14.36,-4.53,3,13,5,6,2,16,,2086,2332,,1245,726,1755,0.414,237,725,0.327,397,550,0.722,317,1033,363,178,51,414,576,1245,836,1704,0.491,201,571,0.352,459,630,0.729,256,1040,450,203,111,364,507,67.9,98.8,0.313,0.413,0.517,49.8,50,8.4,4.5,0.481,17,28.8,0.226,67.9,110.4,0.37,0.335,0.582,50.2,53.8,9.6,10.8,0.55,15.4,26.3,0.269
8,Alcorn State,32,18,14,0.563,-8.74,-5.81,15,3,7,2,10,10,,2165,2259,,1301,763,1868,0.408,164,554,0.296,475,659,0.721,384,1087,316,257,80,404,605,1301,778,1741,0.447,233,707,0.33,470,683,0.688,322,1077,458,183,109,463,565,67.8,98.2,0.353,0.297,0.496,50.2,41.4,11.7,7.7,0.452,15.6,33.7,0.254,67.8,102.5,0.392,0.406,0.547,49.8,58.9,8.3,8.3,0.514,18.3,31.4,0.27
9,American,32,17,15,0.531,-8.26,-7.73,7,11,8,6,9,9,,2093,2110,,1300,785,1630,0.482,204,589,0.346,319,455,0.701,259,970,436,238,126,448,482,1300,754,1665,0.453,216,561,0.385,386,534,0.723,275,931,394,264,75,390,486,62.6,102.9,0.279,0.361,0.567,51,55.5,11.7,11.4,0.544,19.5,28.3,0.196,62.6,103.7,0.321,0.337,0.55,49,52.3,13,7.2,0.518,16.9,27.9,0.232
10,Appalachian State,32,16,16,0.5,-1.5,-0.98,9,9,10,7,6,7,,2248,2067,,1290,819,1854,0.442,243,726,0.335,367,543,0.676,288,1142,417,204,146,352,442,1290,753,1870,0.403,235,729,0.322,326,456,0.715,322,1152,378,192,76,399,512,67.3,103.6,0.293,0.392,0.532,49.8,50.9,9.4,12.8,0.507,14.3,25.8,0.198,67.3,95.3,0.244,0.39,0.495,50.2,50.2,8.8,6.7,0.466,16.1,27.4,0.174
