Rk,School,TG,SRS,FGA,TOV,OTRB,TRB%
1,Abilene Christian,32,-3.82,1877,404,1171,47.7
2,Air Force,31,-4.34,1604,372,1016,46.2
3,Akron,34,3.01,1952,389,1096,53.3
4,Alabama,32,21.1,2073,383,1125,53
5,Alabama A&M,33,-14.66,1806,534,1191,49.6
6,Alabama State,32,-11.73,2087,361,1260,50.1
7,Albany (NY),32,-6.48,2059,425,1152,50
8,Alcorn State,32,-11.59,1851,370,1028,51.4
9,American,32,-8.76,1740,347,979,51.6
10,Appalachian State,33,6.43,2033,355,1197,53.6
11,Arizona,33,25.34,2129,397,1058,57.1
12,Arizona State,32,4.87,1901,335,1298,45
13,Arkansas,33,6.37,1898,395,1200,48.7
14,Arkansas State,34,0.53,2117,386,1204,51.9
15,Arkansas-Pine Bluff,31,-15.62,1821,413,1188,47.5
16,Army,32,-14.46,1747,389,1086,50
17,Auburn,34,23.33,2068,360,1176,52.3
18,Austin Peay,34,-5.25,2038,297,1194,49.3
19,Ball State,31,-6.48,1726,374,1044,50.9
20,Baylor,33,20.21,1890,399,967,54.6
21,Bellarmine,31,-11.43,1837,297,1135,46.9
22,Belmont,33,2.92,1939,402,1194,48.6
23,Bethune-Cookman,33,-12.17,1922,465,1172,48.7
24,Binghamton,30,-9.13,1738,366,999,53.6
25,Boise State,32,13.82,1846,357,953,55.5
26,Boston College,34,9.43,2035,361,1172,50.5
27,Boston University,33,-9.74,1856,384,1099,51.5
28,Bowling Green State,33,-4.8,1987,378,1148,52.3
29,Bradley,33,9.68,1887,400,1078,51.6
30,Brigham Young,33,20.35,2098,352,1107,54.2
31,Brown,31,-3.38,1818,385,1073,51.8
32,Bryant,33,-2.86,2087,393,1401,47.1
33,Bucknell,33,-8.11,1770,405,1112,49.1
34,Buffalo,31,-14.88,1830,450,1140,48.7
35,Butler,32,12.22,1977,347,1155,49.4
36,Cal Poly,32,-13.27,1778,405,1232,44.8
37,Cal State Bakersfield,32,-5.07,1861,389,1070,50.9
38,Cal State Fullerton,32,-4.75,1717,393,1137,48
39,Cal State Northridge,34,-4.45,2065,481,1187,53.4
40,California,32,5.23,1980,370,1164,50.5
41,California Baptist,33,-2.38,1857,392,1074,53.6
42,Campbell,32,-10.45,1740,383,1112,48.3
43,Canisius,32,-7.71,1910,432,1083,52.2
44,Central Arkansas,32,-15.34,1965,407,1191,49.4
45,Central Connecticut State,31,-8.05,1798,349,1051,51.4
46,Central Michigan,32,-7.84,1880,384,1206,49.1
47,Charleston Southern,30,-11.88,1727,366,1085,49.6
48,Charlotte,31,4.37,1655,301,1020,49.7
49,Chattanooga,33,-0.04,1915,393,1132,51.6
50,Chicago State,30,-9.72,1697,405,1051,49
51,Cincinnati,34,15.56,2125,409,1085,55.3
52,Clemson,32,14.91,1877,325,1063,52.3
53,Cleveland State,34,-2.91,2119,352,1236,49.2
54,Coastal Carolina,31,-10.19,1880,420,1172,51.6
55,Colgate,34,0.06,1922,360,1123,52.1
56,College of Charleston,34,4.19,2200,338,1196,53
57,Colorado,34,16.01,1953,431,1023,55.5
58,Colorado State,34,13.46,1919,344,1119,50
59,Columbia,27,-5.24,1597,330,902,51.7
60,Connecticut,34,24.71,1994,335,1022,56.1
61,Coppin State,29,-21.38,1571,455,1135,43.5
62,Cornell,29,3.62,1769,357,1018,50.3
63,Creighton,32,20.02,1922,338,1071,53.1
64,Dartmouth,27,-13.83,1447,344,938,48.9
65,Davidson,32,3.83,1816,338,1128,49.6
66,Dayton,31,13.55,1647,317,1016,50.7
67,Delaware,33,-1.49,1917,356,1136,50.9
68,Delaware State,33,-10.46,1906,486,1059,51.8
69,Denver,34,-7.02,2103,340,1252,49.2
70,DePaul,32,-6.34,1714,435,1169,44.9
71,Detroit Mercy,32,-16.71,1806,427,1172,44.6
72,Drake,34,11.19,2020,329,1107,51.4
73,Drexel,32,1.35,1886,346,999,55.6
74,Duke,32,20.23,1896,311,1009,53.7
75,Duquesne,35,7.52,1993,413,1198,50.7
76,East Carolina,33,-0.35,1903,358,1141,50.3
77,East Tennessee State,35,-2.94,2131,433,1254,51.8
78,Eastern Illinois,32,-11.29,1951,331,1135,49.9
79,Eastern Kentucky,31,-5.11,1993,356,1135,52.3
80,Eastern Michigan,31,-12.53,1825,361,1129,48.6
81,Eastern Washington,32,-0.59,1783,422,1009,51.8
82,Elon,32,-11.24,1848,379,1126,49
83,Evansville,33,-3.39,1933,377,1166,49
84,Fairfield,34,-2.76,2051,362,1193,49.1
85,FDU,32,-14.32,2012,408,1275,48.3
86,Florida,35,15.48,2283,412,1260,54.2
87,Florida A&M,29,-15.77,1679,442,1059,48.6
88,Florida Atlantic,33,13.89,2017,367,1118,52.9
89,Florida Gulf Coast,32,-5.98,1817,363,1043,51.3
90,Florida International,33,-7.77,2019,451,1281,44.9
