Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,AdjORtg,AdjDRtg,AdjNRtg
1,Houston,Big 12,,30,4,73,57,16.06,,10.29,,5.94,20.41,26.35,120.5,81.17,39.33
2,Arizona,Pac-12,,25,8,87.9,72.2,15.7,,9.64,,19.5,5.84,25.34,123.32,89.39,33.93
3,Purdue,Big Ten,,29,4,83.4,70.2,13.24,,11.53,,15.55,9.22,24.77,126.79,91.95,34.84
4,Connecticut,Big East,,31,3,81.5,64.4,17.06,,7.65,,11.94,12.77,24.71,127,91.53,35.48
5,Auburn,SEC,,27,7,83.3,68,15.29,,8.03,,13.85,9.48,23.33,122.05,89.4,32.64
6,Iowa State,Big 12,,27,7,75.6,61.3,14.26,,8.74,,7.96,15.05,23.01,117.12,84.12,33
7,Tennessee,SEC,,24,8,79.5,67.9,11.59,,10.19,,10.27,11.52,21.79,118.11,87.57,30.53
8,Alabama,SEC,,21,11,90.8,81.1,9.69,,11.42,,22.17,-1.07,21.1,127.16,97.71,29.44
9,North Carolina,ACC,,27,7,81.5,70.2,11.24,,9.75,,13.25,7.74,20.98,119.18,89.79,29.39
10,Brigham Young,Big 12,,23,10,81.8,69.9,11.94,,8.41,,13.64,6.71,20.35,122.3,93.53,28.77
11,Duke,ACC,,24,8,79.8,67.4,12.41,,7.82,,11.1,9.13,20.23,123.28,93.68,29.6
12,Baylor,Big 12,,23,10,80.5,71.2,9.33,,11.4,,13.25,6.97,20.21,125.7,96.48,29.22
13,Creighton,Big East,,23,9,80.5,69.7,10.81,,9.21,,12.19,7.83,20.02,122.72,93.89,28.82
14,Illinois,Big Ten,,26,8,84.4,73.8,10.62,,9.25,,16.81,3.06,19.87,124.74,97.05,27.69
15,Marquette,Big East,,25,9,78.3,69.7,8.59,,10.98,,11.48,8.09,19.57,120.06,92.64,27.42
16,Michigan State,Big Ten,,19,14,73.1,65.9,7.18,,10.71,,4.39,13.5,17.89,115.06,89.94,25.12
17,Kansas,Big 12,,22,10,75.3,68.7,6.56,,11.71,,8.57,9.05,17.62,115.8,90.8,25.01
18,Kentucky,SEC,,23,9,89.4,79.7,9.75,,7.86,,19.89,-2.28,17.61,122.83,98.86,23.98
19,Gonzaga,WCC,,25,7,84.9,69,15.91,,3.01,,12.59,4.71,17.3,121.72,97.22,24.5
20,Saint Mary's (CA),WCC,,26,7,74.2,58.7,15.52,,3.42,,1.69,15.26,16.95,115.93,90.04,25.89
21,Wisconsin,Big Ten,,22,13,75.1,69.9,5.11,,11.69,,8.58,8.22,16.8,121.16,96.29,24.87
22,St. John's (NY),Big East,,20,13,78.8,71.9,6.91,,9.37,,10.87,5.41,16.28,118.57,95.29,23.28
23,Texas,Big 12,,20,12,76.5,69.9,6.66,,9.39,,8.74,7.31,16.04,118.01,94.82,23.19
24,Colorado,Pac-12,,24,10,79.3,71.2,8.12,,7.89,,9.99,6.02,16.01,118.5,96,22.5
25,New Mexico,MWC,,26,9,81.7,70.5,11.2,,5.45,,12.53,3.47,16.01,114.93,92.95,21.98
26,Texas Tech,Big 12,,23,10,75.6,69.3,6.24,,9.73,,8.04,7.94,15.97,118.99,95.7,23.29
27,TCU,Big 12,,21,12,79.2,71.2,8,,7.66,,11.05,4.61,15.66,115.47,94.08,21.39
28,Cincinnati,Big 12,,20,14,74.6,67.9,6.74,,8.83,,6.41,9.15,15.56,114.26,92.15,22.11
29,Florida,SEC,,24,11,85.1,78.5,6.6,,8.88,,16.01,-0.53,15.48,119.39,98.1,21.28
30,San Diego State,MWC,,24,10,74.6,66.6,8.03,,8.46,,5.25,10.05,15.3,113.92,91.76,22.17
31,Oklahoma,Big 12,,20,12,75.4,68.8,6.59,,8.56,,7.06,8.1,15.15,116.6,95.16,21.44
32,Wake Forest,ACC,,20,13,78.2,70.5,7.73,,7.42,,10.08,5.07,15.15,118.41,96.6,21.81
33,Nebraska,Big Ten,,23,10,77.6,70.1,7.48,,7.64,,8.97,6.15,15.12,115.92,94.56,21.36
34,Utah,Pac-12,,19,14,78.1,72.6,5.42,,9.56,,10.06,4.93,14.98,115.27,94.28,20.99
35,Mississippi State,SEC,,21,13,74.8,69.1,5.71,,9.23,,5.24,9.69,14.93,113.4,92.48,20.91
36,Clemson,ACC,,21,11,77.4,71.3,6.09,,8.81,,8.11,6.8,14.91,118.56,97.27,21.3
37,Pittsburgh,ACC,,22,11,75.6,67.6,7.97,,6.82,,5.77,9.02,14.79,116.55,95.7,20.85
38,Villanova,Big East,,18,15,70.5,65.5,5.03,,9.75,,2.41,12.38,14.78,113.3,91.63,21.67
39,Washington State,Pac-12,,24,9,74.3,66.9,7.42,,6.85,,3.89,10.38,14.28,114.8,94.36,20.44
40,Ohio State,Big Ten,,20,13,74.9,69.5,5.42,,8.68,,6.02,8.08,14.1,116.37,96.5,19.87
41,Florida Atlantic,AAC,,25,8,82.5,73.3,9.27,,4.61,,11.6,2.29,13.89,119.4,99.63,19.78
42,Boise State,MWC,,22,10,75.8,67.5,8.28,,7.42,,6.37,7.45,13.82,116.55,95.76,20.79
43,Dayton,A-10,,24,7,74.7,66.3,8.45,,5.1,,5.47,8.08,13.55,119.13,98.77,20.36
44,Colorado State,MWC,,24,10,76.4,68.4,8,,7.37,,5.49,7.97,13.46,116.68,97.25,19.43
45,Nevada,MWC,,26,7,76.4,67.1,9.36,,4.74,,5.86,7.5,13.36,115.11,95.79,19.32
46,Iowa,Big Ten,,18,14,82.9,79,3.97,,9.27,,14.53,-1.29,13.24,119.69,101.78,17.91
47,Texas A&M,SEC,,20,14,74.8,70.8,3.97,,9.07,,5.27,7.77,13.04,115.86,96.75,19.11
48,UCF,Big 12,,17,15,71.5,67.5,4.06,,8.73,,3.57,9.22,12.79,108.39,90.55,17.84
49,Indiana State,MVC,,28,6,84.4,72,12.41,,0.88,,12,0.77,12.76,117.82,100.21,17.61
50,Northwestern,Big Ten,,21,11,73.7,69,4.69,,8.06,,4.91,7.84,12.74,117.2,98.53,18.67
51,Providence,Big East,,21,13,72.9,69,3.88,,8.82,,3.92,8.78,12.7,109.43,91.75,17.69
52,Oregon,Pac-12,,23,11,75.3,71.9,3.47,,8.78,,6.24,6.01,12.25,115.07,97.65,17.42
53,Xavier,Big East,,16,17,75.8,74.5,1.3,,10.94,,8.61,3.63,12.24,112.62,95.1,17.51
54,Butler,Big East,,18,14,77.3,73.7,3.53,,9.42,,8.6,3.62,12.22,113.61,96.69,16.93
55,Utah State,MWC,,27,6,79.8,70.3,9.52,,4.74,,9.13,3.02,12.16,115.4,98.02,17.38
56,Washington,Pac-12,,17,15,80.6,77.1,3.47,,8.61,,12.14,-0.07,12.07,115.1,98.13,16.97
57,Kansas State,Big 12,,19,14,71.9,70.5,1.39,,10.42,,4.76,7.06,11.81,110.21,93.26,16.95
58,Virginia Tech,ACC,,18,14,75,71.1,3.94,,7.84,,7.08,4.7,11.78,116.83,99.26,17.56
59,NC State,ACC,,22,14,76.4,72.7,3.67,,7.89,,7.87,3.7,11.56,115.2,98.76,16.44
60,South Carolina,SEC,,26,7,72,67,5.06,,6.49,,1.56,10,11.55,114.07,97.16,16.92
61,Seton Hall,Big East,,20,12,72.8,70.2,2.63,,8.73,,4.09,7.26,11.35,112.87,96.79,16.08
62,Drake,MVC,,28,6,80.5,70.5,9.97,,1.53,,8.45,2.75,11.19,115.65,99.47,16.18
63,Virginia,ACC,,23,10,63.6,59.6,4,,6.97,,-6.53,17.51,10.97,106.63,90.22,16.41
64,Maryland,Big Ten,,16,17,69,65.9,3.15,,7.71,,0.17,10.69,10.86,107.67,92.55,15.12
65,Southern Methodist,AAC,,20,12,76.3,67.8,8.53,,2.49,,4.41,6.27,10.68,111.16,96.03,15.13
66,Grand Canyon,WAC,,29,4,79.8,66.9,12.88,,-1.7,,5.42,4.6,10.02,111.97,97.35,14.63
67,Minnesota,Big Ten,,18,14,75.4,71.8,3.66,,6.24,,5.62,4.28,9.9,113.81,100.14,13.67
68,San Francisco,WCC,,23,10,77.9,66.3,11.58,,-0.1,,3.51,6.18,9.69,112.32,97.46,14.86
69,Bradley,MVC,,22,11,74.6,67,7.55,,2.58,,3.71,5.97,9.68,112.81,98.63,14.18
70,Southern California,Pac-12,,15,18,74.1,74.3,-0.18,,9.78,,5.58,4.02,9.6,110.95,97.64,13.31
71,Miami (FL),ACC,,15,17,75.8,73.6,2.13,,7.41,,6.41,3.12,9.53,111.85,99.47,12.38
72,Penn State,Big Ten,,16,17,75.1,73.4,1.7,,7.74,,6.66,2.78,9.44,111.32,97.95,13.36
73,Boston College,ACC,,19,15,74.6,72.1,2.47,,6.96,,5.78,3.66,9.43,113.54,100.07,13.47
74,Florida State,ACC,,17,16,76.5,76.3,0.24,,9.18,,7.58,1.84,9.42,110.93,97.76,13.17
75,Memphis,AAC,,22,10,80.5,75.8,4.75,,4.48,,10.09,-0.87,9.23,112.94,99.93,13.01
76,Nevada-Las Vegas,MWC,,19,12,73.2,67.8,5.39,,6.33,,2.79,6.12,8.91,112.67,99.31,13.36
77,North Texas,AAC,,18,14,69.1,63.1,5.97,,4.17,,-3.34,12.14,8.8,109.85,96.47,13.38
78,Virginia Commonwealth,A-10,,22,13,71.5,66.7,4.83,,3.94,,1.01,7.76,8.77,109.88,96.91,12.97
79,James Madison,Sun Belt,,31,3,84.4,69.2,15.18,,-4.81,,7.94,0.74,8.67,112.01,100.11,11.91
80,Louisiana State,SEC,,17,15,76.3,74.7,1.66,,6.98,,6.46,2.17,8.64,111.01,98.77,12.24
81,Mississippi,SEC,,20,12,74.9,73.9,1.03,,7.53,,5.05,3.52,8.57,113.13,101.05,12.08
82,Georgia,SEC,,17,16,74.8,74.6,0.21,,8.33,,4.35,4.19,8.54,109.08,96.89,12.19
83,Syracuse,ACC,,20,12,76.3,75.6,0.69,,9.18,,6.74,1.57,8.31,110.72,98.65,12.07
84,Richmond,A-10,,23,9,72.3,66.1,6.25,,1.99,,0.92,7.32,8.24,108.44,96.58,11.86
85,Indiana,Big Ten,,19,14,72.3,74.3,-2,,10.03,,4.11,3.92,8.03,110.17,98.71,11.46
86,Massachusetts,A-10,,20,11,77.5,70.7,6.71,,1.09,,5.43,2.37,7.8,111.41,100.44,10.97
87,UCLA,Pac-12,,16,17,66,65.5,0.52,,8.07,,-3.58,11.3,7.72,107.89,96.77,11.12
88,Rutgers,Big Ten,,15,17,65.4,66.5,-1.16,,8.82,,-3.1,10.77,7.67,100.33,89.68,10.65
89,Stanford,Pac-12,,14,18,76.3,76.5,-0.13,,7.76,,7.08,0.56,7.64,111.14,100.94,10.2
90,Duquesne,A-10,,24,11,70.8,66,4.74,,4.05,,-0.36,7.88,7.52,106.88,95.86,11.02
91,South Florida,AAC,,24,7,75.8,69.1,6.77,,0.6,,3.09,4.29,7.38,109.79,99.14,10.65
92,UC Irvine,Big West,,24,9,77.7,67.8,9.91,,-1.05,,3.57,3.73,7.3,108.67,98.58,10.09
93,McNeese State,Southland,,30,3,80.4,61.5,18.91,,-7.26,,1.79,5.36,7.15,113.94,102.29,11.65
94,Loyola (IL),A-10,,23,9,73.4,67.3,6.13,,2.38,,1.09,5.98,7.06,104.9,94.33,10.57
95,St. Bonaventure,A-10,,20,13,73.5,68.6,4.82,,2.23,,2.85,4.2,7.05,112.98,102.58,10.4
96,Princeton,Ivy,,24,4,77.1,66,11.07,,-1.8,,3.34,3.59,6.93,116.27,105.17,11.1
97,Oklahoma State,Big 12,,12,20,71,72.7,-1.72,,8.51,,2.9,3.89,6.79,109.57,100.22,9.35
98,Saint Joseph's,A-10,,21,13,75.6,70.4,5.15,,1.61,,4.46,2.3,6.76,110.89,100.96,9.93
99,George Mason,A-10,,20,12,71,65.9,5.13,,2.1,,-1.23,7.85,6.61,109.61,99.52,10.1
100,Appalachian State,Sun Belt,,27,6,78.5,66.5,11.91,,-2.57,,1.68,4.75,6.43,106.47,97.03,9.44
101,Arkansas,SEC,,16,17,77.8,79.8,-2.03,,8.4,,7.69,-1.31,6.37,109.97,101.31,8.66
102,Samford,Southern,,29,5,86,73.9,12.03,,-3.72,,10.18,-3.93,6.25,111.77,103.91,7.86
103,Santa Clara,WCC,,20,13,76.9,72.2,4.67,,1.95,,4.8,0.81,5.61,109.68,101.96,7.73
104,Michigan,Big Ten,,8,24,72.9,79,-6.06,,11.64,,5.06,0.52,5.58,111.16,103.74,7.42
105,California,Pac-12,,13,19,74,77,-3.06,,8.29,,4.93,0.3,5.23,109.29,101.46,7.83
106,UAB,AAC,,23,11,77.8,75.2,2.59,,3.62,,6.11,-0.91,5.2,112.03,104.59,7.44
107,Louisiana Tech,CUSA,,22,10,74.8,64.5,10.22,,-1.47,,-0.62,5.67,5.05,106.34,98.5,7.84
108,Notre Dame,ACC,,13,20,64,67.2,-3.12,,8.06,,-4.35,9.28,4.93,103.28,96.42,6.86
109,Arizona State,Pac-12,,14,18,69,74,-4.97,,9.84,,0.47,4.4,4.87,103.98,97.36,6.62
110,Yale,Ivy,,22,9,75.2,66.6,8.55,,-0.61,,0.04,4.76,4.8,108.45,101.07,7.38
111,Georgia Tech,ACC,,14,18,71,75.2,-4.22,,8.77,,3.16,1.38,4.55,108.69,102.41,6.28
112,Charlotte,AAC,,19,12,68.7,65.6,3.13,,2.7,,-3.3,7.67,4.37,108.41,101.83,6.58
