Team,kaggle_id
UConn,1163
Iowa State,1235
Illinois,1228
Auburn,1120
San Diego State,1361
BYU,1140
Washington State,1450
Florida Atlantic,1194
Northwestern,1321
Drake,1179
Duquesne,1182
UAB,1412
Yale,1463
Morehead State,1287
South Dakota State,1355
Stetson,1391
Houston,1222
Marquette,1266
Kentucky,1246
Duke,1181
Wisconsin,1458
Texas Tech,1403
Florida,1196
Nebraska,1304
Texas A&M,1401
Boise State,1129
Colorado,1160
North Carolina State,1301
James Madison,1241
Vermont,1436
Oakland,1324
Western Kentucky,1443
Longwood,1255
Purdue,1345
Tennessee,1397
Creighton,1166
Kansas,1242
Gonzaga,1211
South Carolina,1376
Texas,1400
Utah State,1429
TCU,1395
Colorado State,1161
Virginia,1438
Oregon,1332
McNeese,1270
Samford,1359
Akron,1103
Saint Peter's,1389
Grambling State,1212
Montana State,1286
North Carolina,1314
Arizona,1112
Baylor,1124
Alabama,1104
Saint Mary's,1388
Clemson,1155
Dayton,1173
Mississippi State,1280
Michigan State,1277
Nevada,1305
New Mexico,1307
Grand Canyon,1213
Charleston,1158
Colgate,1159
Long Beach State,1253
Howard,1224
Wagner,1447
