Team,kaggle_id,seed,Defensive Efficiency,LRMC Ranking,Sonny Moore Rating,BPI Rating,Ken Pom Ranking
UConn,1163,1,96,1,94.01,18.4,3
Stetson,1391,16,113,199,69.37,-0.3,196
Iowa State,1235,2,90.8,6,91.33,16.6,10
South Dakota State,1355,15,108.1,132,69.06,-0.4,164
Illinois,1228,3,102.4,9,88.06,15.4,13
Morehead State,1287,14,105.2,120,72.2,4.9,125
Auburn,1120,4,92.9,5,90.7,17.2,6
Yale,1463,13,102.1,87,75.93,7.7,88
San Diego State,1361,5,93.7,21,81.66,11.1,18
UAB,1412,12,107.7,105,72.03,2.1,130
BYU,1140,6,100.1,17,89.3,13.7,15
Duquesne,1182,11,100.9,69,75.52,4.3,110
Washington State,1450,7,97.5,32,83.02,9.8,36
Drake,1179,10,102.5,41,80.43,8,53
Florida Atlantic,1194,8,102.8,33,82.24,11.5,37
Northwestern,1321,9,100.9,48,82.8,9.9,42
Houston,1222,1,87,2,94.28,22.5,1
Marquette,1266,2,95.1,10,89.78,15.3,11
Kentucky,1246,3,101.8,20,89.13,12.9,17
Duke,1181,4,97.4,12,89.27,16.5,8
Wisconsin,1458,5,99.7,14,82.7,12.5,23
Texas Tech,1403,6,101.5,34,84.84,10.9,38
Florida,1196,7,101.6,23,84.02,11.7,28
Nebraska,1304,8,98,28,84.84,9.8,34
Texas A&M,1401,9,101.4,43,79.74,9.2,59
Boise State,1129,10,97.7,57,82.64,9.6,39
Colorado,1160,10,100.4,22,85.22,8.6,31
North Carolina State,1301,11,101.7,50,79.6,7.4,73
James Madison,1241,12,100.5,46,80.09,9.3,62
Vermont,1436,13,100.8,91,77.75,6.4,98
Oakland,1324,14,105.8,107,72.13,2.2,134
Western Kentucky,1443,15,103.1,133,70.03,-0.3,146
Longwood,1255,16,106.6,141,69.44,0.4,178
Purdue,1345,1,96.6,4,91.61,19.6,2
Tennessee,1397,2,91.8,8,92.85,18,5
Creighton,1166,3,96.8,11,88.63,16.2,12
Kansas,1242,4,93.9,25,87.85,13.8,16
Gonzaga,1211,5,100.4,15,87.47,13.1,20
South Carolina,1376,6,99,55,82.22,8.7,46
Texas,1400,7,99.3,38,84.91,12.1,27
Utah State,1429,8,99.3,54,80.45,7.9,43
TCU,1395,9,97.9,37,86.64,11.9,29
Colorado State,1161,10,98.1,36,79.96,7.7,33
Virginia,1438,10,93.9,70,80.63,9.1,64
Oregon,1332,11,101.1,52,80.45,7.8,60
McNeese,1270,12,100.8,53,76.88,8.7,68
Samford,1359,13,104.3,75,76.19,5.5,84
Akron,1103,14,101.4,99,74.67,5.8,99
Saint Peter's,1389,15,101.4,189,67.89,-2.2,190
Grambling State,1212,16,108,263,60.39,-7.3,282
Montana State,1286,16,108.4,206,62.45,-7.7,265
North Carolina,1314,1,93.4,7,88.81,15.3,9
Arizona,1112,2,94.8,3,93.25,18.6,4
Baylor,1124,3,100.4,16,89.35,14.9,14
Alabama,1104,4,102.6,18,90.32,17.7,7
Saint Mary's,1388,5,95.3,26,87.08,14.1,21
Clemson,1155,6,99.4,35,86.13,12.6,24
Dayton,1173,7,100.5,42,80.37,11.8,25
Mississippi State,1280,8,95.4,29,84.83,11.2,26
Michigan State,1277,9,95,19,85.29,13.3,19
Nevada,1305,10,98.5,47,81.15,8.6,41
New Mexico,1307,11,98.3,13,81.43,8.5,35
Grand Canyon,1213,12,101.3,44,75.83,7.3,69
Charleston,1158,13,106.9,89,76.21,4.6,113
Colgate,1159,14,103.4,112,72.9,4.3,144
Long Beach State,1253,15,107.1,154,67.9,-0.1,157
Howard,1224,16,114.2,223,61.77,-5.1,285
Wagner,1447,16,108.8,287,63.59,-5.8,307
