School,AST,SRS,AdjNRtg,kaggle_id,FGA,TOV,OTRB,TRB%,Team
Houston,12.9,26.35,39.33,1222.0,60.73529412,8.882352941,33.82352941,52.7,Houston
Arizona,18.6,25.34,33.93,1112.0,64.51515152,12.03030303,32.06060606,57.1,Arizona
Purdue,18.4,24.77,34.84,1345.0,58.39393939,11.48484848,29.63636364,57.7,Purdue
Connecticut,18.5,24.71,35.48,1163.0,58.64705882,9.852941176,30.05882353,56.1,UConn
Auburn,18.0,23.33,32.64,1120.0,60.82352941,10.58823529,34.58823529,52.3,Auburn
Iowa State,15.8,23.01,33.0,1235.0,58.58823529,10.67647059,33.08823529,50.7,Iowa State
Tennessee,16.8,21.79,30.53,1397.0,61.75,10.28125,35.21875,52.4,Tennessee
Alabama,16.1,21.1,29.44,1104.0,64.78125,11.96875,35.15625,53.0,Alabama
North Carolina,14.5,20.98,29.39,1314.0,62.5,10.32352941,33.70588235,55.0,North Carolina
Brigham Young,18.6,20.35,28.77,1140.0,63.57575758,10.66666667,33.54545455,54.2,BYU
Duke,15.4,20.23,29.6,1181.0,59.25,9.71875,31.53125,53.7,Duke
Baylor,14.8,20.21,29.22,1124.0,57.27272727,12.09090909,29.3030303,54.6,Baylor
Creighton,17.1,20.02,28.82,1166.0,60.0625,10.5625,33.46875,53.1,Creighton
Illinois,13.0,19.87,27.69,1228.0,62.17647059,10.76470588,32.85294118,55.7,Illinois
Marquette,15.8,19.57,27.42,1266.0,60.94117647,9.941176471,35.58823529,48.0,Marquette
Michigan State,16.3,17.89,25.12,1277.0,58.93939394,9.787878788,33.78787879,50.6,Michigan State
Kansas,18.8,17.62,25.01,1242.0,57.46875,11.59375,33.5625,51.7,Kansas
Kentucky,17.6,17.61,23.98,1246.0,64.71875,10.65625,36.71875,50.6,Kentucky
Gonzaga,16.6,17.3,24.5,1211.0,62.03125,9.78125,31.59375,55.2,Gonzaga
Saint Mary's (CA),16.2,16.95,25.89,1388.0,58.78787879,10.12121212,27.51515152,59.0,Saint Mary's
Wisconsin,12.7,16.8,24.87,1458.0,57.6,9.685714286,30.74285714,52.5,Wisconsin
Texas,15.7,16.04,23.19,1400.0,58.6875,11.375,33.5625,50.7,Texas
Colorado,15.9,16.01,22.5,1160.0,57.44117647,12.67647059,30.08823529,55.5,Colorado
New Mexico,14.8,16.01,21.98,1307.0,65.11428571,9.942857143,35.28571429,52.9,New Mexico
Texas Tech,14.7,15.97,23.29,1403.0,57.0,11.15151515,33.78787879,50.9,Texas Tech
TCU,17.0,15.66,21.39,1395.0,61.27272727,12.84848485,32.51515152,53.2,TCU
Florida,15.0,15.48,21.28,1196.0,65.22857143,11.77142857,36.0,54.2,Florida
San Diego State,13.1,15.3,22.17,1361.0,58.79411765,11.05882353,33.44117647,53.2,San Diego State
Nebraska,15.3,15.12,21.36,1304.0,59.33333333,11.12121212,37.21212121,50.5,Nebraska
Mississippi State,14.1,14.93,20.91,1280.0,58.02941176,12.94117647,32.5,54.1,Mississippi State
Clemson,14.7,14.91,21.3,1155.0,58.65625,10.15625,33.21875,52.3,Clemson
Washington State,12.5,14.28,20.44,1450.0,58.78787879,10.81818182,31.60606061,54.4,Washington State
Florida Atlantic,15.0,13.89,19.78,1194.0,61.12121212,11.12121212,33.87878788,52.9,Florida Atlantic
Boise State,12.5,13.82,20.79,1129.0,57.6875,11.15625,29.78125,55.5,Boise State
Dayton,14.8,13.55,20.36,1173.0,53.12903226,10.22580645,32.77419355,50.7,Dayton
Colorado State,18.3,13.46,19.43,1161.0,56.44117647,10.11764706,32.91176471,50.0,Colorado State
Nevada,15.1,13.36,19.32,1305.0,54.60606061,10.0,32.72727273,51.3,Nevada
Texas A&M,11.3,13.04,19.11,1401.0,63.47058824,9.617647059,33.79411765,55.8,Texas A&M
Northwestern,15.7,12.74,18.67,1321.0,57.25,8.75,33.3125,48.3,Northwestern
Oregon,13.8,12.25,17.42,1332.0,59.44117647,10.20588235,33.73529412,50.3,Oregon
Utah State,16.4,12.16,17.38,1429.0,57.93939394,11.15151515,32.33333333,52.9,Utah State
NC State,12.8,11.56,16.44,1301.0,60.91666667,9.555555556,36.11111111,49.2,North Carolina State
South Carolina,15.4,11.55,16.92,1376.0,58.0,10.09090909,32.6969697,52.3,South Carolina
Drake,15.9,11.19,16.18,1179.0,59.41176471,9.676470588,32.55882353,51.4,Drake
Virginia,15.0,10.97,16.41,1438.0,55.48484848,8.181818182,34.48484848,48.8,Virginia
Grand Canyon,12.4,10.02,14.63,1213.0,57.66666667,12.27272727,33.06060606,53.6,Grand Canyon
James Madison,16.4,8.67,11.91,1241.0,63.17647059,10.76470588,33.76470588,53.5,James Madison
Duquesne,13.4,7.52,11.02,1182.0,56.94285714,11.8,34.22857143,50.7,Duquesne
McNeese State,15.0,7.15,11.65,1270.0,58.42424242,9.787878788,32.57575758,52.6,McNeese
Samford,17.5,6.25,7.86,1359.0,61.14705882,13.17647059,35.61764706,50.1,Samford
UAB,13.6,5.2,7.44,1412.0,59.76470588,11.52941176,34.70588235,52.3,UAB
Yale,15.2,4.8,7.38,1463.0,60.09677419,9.451612903,32.32258065,53.4,Yale
College of Charleston,15.3,4.19,6.18,1158.0,64.70588235,9.941176471,35.17647059,53.0,Charleston
Akron,13.1,3.01,4.46,1103.0,57.41176471,11.44117647,32.23529412,53.3,Akron
Vermont,13.7,2.91,4.81,1436.0,56.70588235,9.117647059,33.67647059,50.9,Vermont
Oakland,14.5,1.6,2.21,1324.0,59.85294118,11.23529412,34.20588235,51.2,Oakland
