Team,kaggle_id,Adjusted Efficiency Margin,Seed,TOV/Poss,Quad 1 Wins
UConn,1163,32.21,1,14.5,13
Iowa State,1235,26.72,2,15.3,10
Illinois,1228,23.99,3,14.8,8
Auburn,1120,28.9,4,14.6,3
San Diego State,1361,19.7,5,15.6,4
BYU,1140,21.01,6,14.8,6
Washington State,1450,16.22,7,15.7,6
Florida Atlantic,1194,16.24,8,15.5,2
Northwestern,1321,15.91,9,13.1,4
Drake,1179,14.71,10,13.5,4
Duquesne,1182,9.37,11,17,2
UAB,1412,6.28,12,16.2,0
Yale,1463,9.47,13,13.8,0
Morehead State,1287,5.47,14,18.1,0
South Dakota State,1355,2.99,15,16,0
Stetson,1391,-4.1,16,15.5,1
Houston,1222,31.72,1,13.4,16
Marquette,1266,22.74,2,14,9
Kentucky,1246,20.02,3,13.8,6
Duke,1181,24.88,4,14.1,5
Wisconsin,1458,20.6,5,14.3,5
Texas Tech,1403,18.54,6,16.2,6
Florida,1196,18.19,7,15.5,6
Nebraska,1304,18.19,8,15.5,4
Texas A&M,1401,-1.17,9,13.8,7
Boise State,1129,16.38,10,16.2,6
Colorado,1160,18.47,10,17.7,4
North Carolina State,1301,13.06,11,13.4,3
James Madison,1241,12.9,12,14.3,1
Vermont,1436,6.98,13,13.6,0
Oakland,1324,2.82,14,16.4,1
Western Kentucky,1443,3.06,15,17.8,0
Longwood,1255,0.96,16,18,0
Purdue,1345,29.12,1,16.2,12
Tennessee,1397,25.97,2,14.3,8
Creighton,1166,23.4,3,15,8
Kansas,1242,19.23,4,16.1,7
Gonzaga,1211,21.56,5,13.7,3
South Carolina,1376,15.06,6,15,6
Texas,1400,18.4,7,16.2,5
Utah State,1429,15.11,8,15.4,4
TCU,1395,17.29,9,17.5,5
Colorado State,1161,16.6,10,14.6,6
Virginia,1438,13.23,10,12.9,2
Oregon,1332,13.43,11,14.5,4
McNeese,1270,12.86,12,13.8,1
Samford,1359,9.79,13,17.7,0
Akron,1103,4.94,14,16.9,0
Saint Peter's,1389,-2.32,15,19,0
Grambling State,1212,-7.81,16,20,0
Montana State,1286,-3.9,16,16.5,0
North Carolina,1314,24.65,1,14,9
Arizona,1112,26.62,2,15.8,8
Baylor,1124,22.3,3,17.3,10
Alabama,1104,22.48,4,15.6,4
Saint Mary's,1388,19.89,5,15.5,5
Clemson,1155,16.94,6,14.6,5
Dayton,1173,17.3,7,15.5,3
Mississippi State,1280,17.98,8,18.3,4
Michigan State,1277,20.03,9,14.3,3
Nevada,1305,16.81,10,14.7,6
New Mexico,1307,18.94,11,13.5,5
Grand Canyon,1213,13.91,12,17.3,1
Charleston,1158,7.61,13,14,0
Colgate,1159,2.15,14,16,0
Long Beach State,1253,0,15,16.7,0
Howard,1224,-8.26,16,20.8,0
Wagner,1447,-10.09,16,15.6,0
