Team,kaggle_id,seed,W-L%,SRS,Pace,KADJ EM
UConn,1163,1,0.912,24.72,66.2,32.21
Iowa State,1235,2,0.794,23.02,68.2,26.72
Illinois,1228,3,0.758,19.79,70.6,23.99
Auburn,1120,4,0.788,23,70.8,28.9
San Diego State,1361,5,0.706,15.31,67.2,19.7
BYU,1140,6,0.697,20.36,70,21.01
Washington State,1450,7,0.727,14.28,66.7,16.22
Florida Atlantic,1194,8,0.758,13.89,69.1,16.24
Northwestern,1321,9,0.656,12.75,64.7,15.91
Drake,1179,10,0.824,11.19,68.5,14.71
Duquesne,1182,11,0.676,7.32,67.2,9.37
UAB,1412,12,0.667,4.91,68.7,6.28
Yale,1463,13,0.7,5.05,66.1,9.47
Morehead State,1287,14,0.765,0.7,66.3,5.47
South Dakota State,1355,15,0.647,0.72,68.7,2.99
Stetson,1391,16,0.647,-4.51,67.4,-4.1
Houston,1222,1,0.882,26.36,64.2,31.72
Marquette,1266,2,0.735,19.58,69.3,22.74
Kentucky,1246,3,0.719,17.63,74,20.02
Duke,1181,4,0.75,20.24,67.7,24.88
Wisconsin,1458,5,0.647,16.89,65.7,20.6
Texas Tech,1403,6,0.697,15.98,67.2,18.54
Florida,1196,7,0.706,15.82,72.9,18.19
Nebraska,1304,8,0.697,15.12,69.3,18.19
Texas A&M,1401,9,0.588,13.06,67.5,16.11
Boise State,1129,10,0.688,13.84,67.1,16.38
Colorado,1160,10,0.706,16.02,69.1,18.47
North Carolina State,1301,11,0.611,11.57,68.8,13.06
James Madison,1241,12,0.912,8.68,71.8,12.9
Vermont,1436,13,0.824,2.92,65.6,6.98
Oakland,1324,14,0.676,1.6,68.2,2.82
Western Kentucky,1443,15,0.667,1.44,76,3.06
Longwood,1255,16,0.618,-1.47,68.3,0.96
Purdue,1345,1,0.879,24.78,69,29.12
Tennessee,1397,2,0.75,21.8,70.6,25.97
Creighton,1166,3,0.719,20.03,67.9,23.4
Kansas,1242,4,0.688,17.63,69.7,19.23
Gonzaga,1211,5,0.781,17.32,70.2,21.56
South Carolina,1376,6,0.788,11.55,64.7,15.06
Texas,1400,7,0.625,16.05,68.2,18.4
Utah State,1429,8,0.818,12.17,69.1,15.11
TCU,1395,9,0.636,15.67,70.6,17.29
Colorado State,1161,10,0.706,13.47,66.9,16.6
Virginia,1438,10,0.697,11,61.2,12.08
Oregon,1332,11,0.676,12.26,68.6,13.43
McNeese,1270,12,0.909,7.16,67.5,12.86
Samford,1359,13,0.853,6.26,74.3,9.79
Akron,1103,14,0.706,3.02,67,4.94
Saint Peter's,1389,15,0.594,-4.12,65.4,-2.32
Grambling State,1212,16,0.588,-10.15,67.1,-7.81
Montana State,1286,16,0.5,-4.57,69.9,-3.9
North Carolina,1314,1,0.794,21,71.4,24.65
Arizona,1112,2,0.758,25.35,73.3,26.62
Baylor,1124,3,0.697,20.22,66.9,22.3
Alabama,1104,4,0.656,21.12,74.2,22.48
Saint Mary's,1388,5,0.788,16.96,63.5,19.89
Clemson,1155,6,0.656,14.91,67.5,16.94
Dayton,1173,7,0.774,13.55,64.6,17.3
Mississippi State,1280,8,0.618,14.92,68.9,17.98
Michigan State,1277,9,0.576,17.9,66.4,20.03
Nevada,1305,10,0.788,13.38,67,16.81
New Mexico,1307,11,0.743,16.02,72.5,18.94
Grand Canyon,1213,12,0.879,10.03,69.8,13.91
Charleston,1158,13,0.794,4.19,70,7.61
Colgate,1159,14,0.735,0.07,66.5,2.15
Long Beach State,1253,15,0.6,-0.98,72.7,0
Howard,1224,16,0.529,-8.41,69.5,-8.26
Wagner,1447,16,0.516,-10.86,62.9,-10.09
