Team,kaggle_id,seed,wab,barthag,adjde
UConn,1163,1,11.3,0.9712,93.6
Iowa State,1235,2,6.9,0.9583,86.5
Illinois,1228,3,6,0.9221,101.1
Auburn,1120,4,5.5,0.9573,92.1
San Diego State,1361,5,2.6,0.8789,93.9
BYU,1140,6,2.9,0.9067,99
Washington State,1450,7,1.9,0.8556,96.6
Florida Atlantic,1194,8,1.2,0.817,103
Northwestern,1321,9,1.5,0.8717,99.2
Drake,1179,10,1.7,0.8283,100.2
Duquesne,1182,11,-1.8,0.7612,96.1
UAB,1412,12,-2.7,0.6634,106.3
Yale,1463,13,-2.5,0.7437,100.1
Morehead State,1287,14,-3.4,0.5889,103.4
South Dakota State,1355,15,-7.4,0.5836,104.4
Stetson,1391,16,-6.8,0.3559,114
Houston,1222,1,10.6,0.9785,85.5
Marquette,1266,2,6.5,0.9328,94.6
Kentucky,1246,3,2.9,0.8934,102.2
Duke,1181,4,3.3,0.9272,96.8
Wisconsin,1458,5,3.3,0.9018,98.8
Texas Tech,1403,6,3.4,0.8846,98.4
Florida,1196,7,3,0.8951,99.3
Nebraska,1304,8,2.4,0.8999,95.6
Texas A&M,1401,9,0.25,0.8499,98.9
Boise State,1129,10,0.9,0.8538,97.8
Colorado,1160,10,1.7,0.8866,98
North Carolina State,1301,11,-0.6,0.7981,101.2
James Madison,1241,12,1.5,0.778,100.4
Vermont,1436,13,-1.2,0.6593,98.7
Oakland,1324,14,-4.2,0.5853,104.6
Western Kentucky,1443,15,-6.6,0.5938,101.8
Longwood,1255,16,-8.6,0.4768,104.8
Purdue,1345,1,11,0.9644,94.7
Tennessee,1397,2,5.8,0.9382,91.2
Creighton,1166,3,4.4,0.9289,96.5
Kansas,1242,4,4.3,0.9111,92.7
Gonzaga,1211,5,2.5,0.9151,98.6
South Carolina,1376,6,4.7,0.842,98.9
Texas,1400,7,1.2,0.9006,98.3
Utah State,1429,8,3.3,0.8144,100.4
TCU,1395,9,1.3,0.869,97.1
Colorado State,1161,10,1.5,0.846,98.1
Virginia,1438,10,1.2,0.8147,92
Oregon,1332,11,1.4,0.8149,99.6
McNeese,1270,12,0.7,0.7524,101
Samford,1359,13,0.07,0.7315,102.4
Akron,1103,14,-4.5,0.5953,101.6
Saint Peter's,1389,15,-8.8,0.4038,100.2
Grambling State,1212,16,-8,0.2805,106
Montana State,1286,16,-12.6,0.4193,105.8
North Carolina,1314,1,6.6,0.9305,93.2
Arizona,1112,2,4.9,0.9526,93.6
Baylor,1124,3,5.1,0.9103,99.9
Alabama,1104,4,3.4,0.9126,102.1
Saint Mary's,1388,5,1.4,0.9198,93.7
Clemson,1155,6,0.9,0.8647,99.3
Dayton,1173,7,2.6,0.8547,100.7
Mississippi State,1280,8,0.8,0.8772,94.9
Michigan State,1277,9,0.21,0.8983,93.3
Nevada,1305,10,2.7,0.8632,98
New Mexico,1307,11,1.7,0.8927,95.5
Grand Canyon,1213,12,1.3,0.7733,99.8
Charleston,1158,13,-1.6,0.7019,105.2
Colgate,1159,14,-4.1,0.5128,101.8
Long Beach State,1253,15,-8,0.4313,108
Howard,1224,16,-12.1,0.2913,112.9
Wagner,1447,16,-11.7,0.2399,105
